parametr,wartość,zbiór,R2,RMSE,MAE
n_neighbors,1,train,0.9278913421633703,1061.3291261347806,552.4359000000001
n_neighbors,1,test,0.9240319447677429,1103.6657112454911,561.78
n_neighbors,3,train,0.9493609258365028,889.3548696895383,463.72664166666675
n_neighbors,3,test,0.9470532157907721,921.3445427243703,477.42906666666676
n_neighbors,5,train,0.9537512973040716,850.0165638363408,447.00526499999995
n_neighbors,5,test,0.9515175810000223,881.3531987534346,460.28626
n_neighbors,10,train,0.9560769114136324,828.4012021353483,432.9408925000001
n_neighbors,10,test,0.952984179209311,868.1021822148265,447.37275
p,1,train,0.959927430958348,791.2075368424343,403.318705
p,1,test,0.9567902994542565,831.7223127981011,418.83098
p,2,train,0.9537512973040716,850.0165638363408,447.00526499999995
p,2,test,0.9515175810000223,881.3531987534346,460.28626
p,3,train,0.94800281734137,901.3189038226735,482.84027000000003
p,3,test,0.946011158200036,930.367295991078,493.02274
p,4,train,0.9437571001051189,937.3913555908208,508.827635
p,4,test,0.9417324863192462,966.659551977742,519.6563
weights,uniform,train,0.9537512973040716,850.0165638363408,447.00526499999995
weights,uniform,test,0.9515175810000223,881.3531987534346,460.28626
weights,distance,train,0.9537512973040716,850.0165638363408,447.00526499999995
weights,distance,test,0.9515175810000223,881.3531987534346,460.28626
weights,custom_linear,train,0.9537512973040716,850.0165638363408,447.00526499999995
weights,custom_linear,test,0.9515175810000223,881.3531987534346,460.28626
weights,custom_inverse,train,0.9537512973040716,850.0165638363408,447.00526499999995
weights,custom_inverse,test,0.9515175810000223,881.3531987534346,460.28626
aggregation,mean,train,0.9537512973040716,850.0165638363408,447.00526499999995
aggregation,mean,test,0.9515175810000223,881.3531987534346,460.28626
aggregation,median,train,0.9474369667343054,906.2199412023554,471.38935000000004
aggregation,median,test,0.9443141347091171,944.9964703859798,487.5421
aggregation,weighted_mean,train,0.9537512972299167,850.0165645186069,447.00526507640507
aggregation,weighted_mean,test,0.9515175809048039,881.3531996443669,460.2862603181663
aggregation,weighted_median,train,0.9474369667343054,906.2199412023554,471.38935000000004
aggregation,weighted_median,test,0.9443141347091171,944.9964703859798,487.5421
